                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97919,                 3.4647,                 1.3565,                0.60873,                0.89569,                0.88831,                 0.6223,                 1.4116,                 1.3258,                 1.2507,                      0,                      0,                      0
                      2,                 1.3629,                  2.846,                 1.6624,                0.60095,                0.88633,                0.88791,                0.63471,                 1.4541,                 1.3511,                 1.2632,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                  1.294,                 3.5817,                 1.6968,                0.53654,                0.84049,                0.83156,                0.59958,                 1.4568,                 1.3791,                 1.2746,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.3873,                 3.6909,                 1.7284,                 0.5546,                0.83333,                0.83139,                 0.5976,                 1.4798,                 1.4157,                 1.2833,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.0253,                 2.3313,                 1.2785,                0.57528,                0.83333,                0.83176,                0.59768,                  1.487,                 1.4491,                 1.2886,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.0406,                 3.1865,                 1.4127,                0.85048,                0.56667,                0.87122,                 0.5694,                 1.4922,                 1.5117,                 1.2991,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2309,                 2.9805,                 1.4694,                0.82376,                0.56667,                0.88624,                0.56739,                 1.4994,                 1.5697,                 1.3131,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.1634,                 2.5535,                 1.6488,                0.81308,                0.56667,                0.88628,                 0.5654,                 1.5176,                 1.6275,                 1.3308,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 0.9186,                 1.9503,                 1.3414,                0.80367,                0.58333,                0.77968,                0.55162,                 1.5213,                 1.6739,                 1.3422,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1664,                 2.5562,                 1.5893,                0.77343,                0.58333,                0.77484,                 0.5493,                 1.5356,                 1.7414,                 1.3506,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0991,                 2.1913,                  1.277,                0.74874,                0.58333,                0.76715,                0.53852,                 1.5444,                 1.7848,                 1.3534,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0968,                 2.9904,                  1.451,                0.73473,                0.58333,                0.74728,                0.51155,                 1.5446,                 1.8137,                  1.364,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.90692,                 2.1038,                 1.2778,                0.76444,                0.58333,                0.74723,                0.51791,                 1.5438,                 1.8384,                 1.3644,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.2065,                 2.6952,                  1.571,                0.94861,                0.39201,                0.74718,                0.51803,                 1.5473,                 1.8785,                 1.3655,             1.3479e-05,             1.3479e-05,             1.3479e-05
